"","cohort","l50","low","high","(Intercept)","length","mat","immat","tot"
"1",1973,250.245324861558,233.241345840373,261.139663791697,-10.900302857088,0.0435584675282879,2280,79,2359
"2",1974,261.459767033803,255.839319523022,265.769629395969,-14.3787305268937,0.0549940462734165,3428,181,3609
"3",1975,258.89926260993,251.759376154343,265.108262848685,-15.6282277368837,0.060364126105797,1744,109,1853
"4",1976,268.137920919229,264.80613593108,271.53291352523,-25.963551362485,0.0968290918102029,683,399,1082
"5",1977,262.602935574257,256.477530208138,268.516642628456,-22.7569089177586,0.0866590042795753,568,38,606
"6",1978,278.410192563346,273.313871461467,282.736644668682,-43.9753085028035,0.157951503491734,1137,99,1236
"8",1980,243.253804249243,226.237562368623,253.426379839409,-8.09387287377268,0.0332733660579447,517,29,546
"9",1981,293.502275070531,285.967989016693,299.679632088658,-26.1837918982762,0.0892115466293543,1158,98,1256
"10",1982,276.757958209417,272.49765155405,280.220152367915,-25.9886247483729,0.0939038028626727,3018,101,3119
"12",1984,271.511811479915,260.00000000007,277.37540079007,-26.4875225230156,0.0975556915135348,252,28,280
"13",1985,279.71991931257,269.99480254782,286.487263918299,-25.3555756651322,0.0906462997967579,240,18,258
"14",1986,267.11413854515,251.294230091486,279.154242827879,-17.4189521486072,0.0652116441438866,248,11,259
"16",1988,257.172361757311,244.917161151658,266.077595421447,-9.50584865700273,0.0369629480868292,1206,71,1277
"17",1989,298.284066928454,290.032328842766,304.494471876216,-30.3427624559226,0.101724382292268,268,19,287
"21",1993,279.035434233906,266.080827624044,287.490632100806,-14.3546948816279,0.0514439856752918,484,47,531
"22",1994,279.493717088375,272.288358892078,286.288341676158,-18.5015837137161,0.0661967786126151,912,80,992
"23",1995,270.826412347969,260.376526072894,277.796471159385,-15.2256362723608,0.056219170576311,714,44,758
"24",1996,252.685624279254,236.011450291314,264.659097422532,-10.6767738975059,0.042253190809567,1080,60,1140
"25",1997,265.394787875402,257.986330244212,271.847218153971,-17.4509013121904,0.0657544989933384,520,59,579
"26",1998,274.439822645274,269.338228392195,278.808597951886,-22.1502828343616,0.080710891811761,554,60,614
"27",1999,255.800268889927,252.159309782481,259.619328193915,-20.379043054788,0.0796677937174383,2345,115,2460
"28",2000,250.712238674632,244.495012047585,257.237726843459,-34.2957876748702,0.136793432407496,233,14,247
"29",2001,245.309032628182,230.976522831466,253.131980885696,-21.4810122773519,0.08756714763908,310,13,323
"30",2002,258.243813793434,253.639835267055,262.156173937731,-33.1924607410463,0.128531484466058,669,40,709
"31",2003,259.427463628664,255.776294098094,262.753047458165,-23.2973780928522,0.0898030523329609,1023,131,1154
"32",2004,263.442605198723,258.613391595558,268.35318156174,-27.66905095591,0.105028763039442,444,97,541
"33",2005,247.924155890418,240.278835857184,254.497814984817,-17.034059480721,0.0687067358141981,1030,58,1088
"34",2006,265.990168687859,259.275719635731,272.16522749426,-23.7946278922485,0.0894567946237576,267,34,301
"35",2007,270.523585529446,266.133906443229,274.927636272887,-32.3683971390135,0.119650924615925,402,83,485
"36",2008,277.095056110975,272.49965722989,281.344772640608,-31.8866284386168,0.115074692728716,593,78,671
"37",2009,261.926477517557,256.563279878116,267.874936829062,-29.4286982217238,0.112354804678924,165,33,198
"38",2010,259.283487573892,255.44963176831,262.715400240312,-56.5479886287767,0.218093289155799,903,18,921
"39",2011,258.66801160511,242.688632509569,271.569309477345,-24.9021487289335,0.0962706929798101,746,11,757
"41",2013,275.53347446505,272.060401620841,278.591926283916,-76.210427897936,0.276592265407675,761,19,780
"42",2014,269.690395627676,266.80735896203,272.253674842702,-54.9715120725201,0.203831923434202,821,79,900
"43",2015,262.449874801979,260.391550169833,264.454668999091,-30.7418356376952,0.117134121938104,1276,219,1495
"44",2016,265.01869932148,259.282026656709,270.128983733759,-34.9548366619839,0.131895736985646,230,47,277
"45",2017,262.780467602137,260.991322357727,264.547348798915,-28.9062268805153,0.110001428737393,903,326,1229
"46",2018,257.819128467678,254.946236738554,260.648181341782,-32.6031621759709,0.12645749898289,434,82,516
"47",2019,256.266823827528,253.378217020141,259.069833956409,-46.4403957701581,0.181218915021998,357,95,452
